Name,Type,Latitude,Longitude
Ewim Health Clinic,Clinic,5.115015,-1.244858
MEDIMAFO Herbal Hope,Hospital,5.7180502,-0.2824956
Clinic,Clinic,5.4908372,-1.5329901
St. Kathryn's Hospital,Hospital,5.5876402,-0.2314676
Greenville Hospital,Hospital,5.7288187,0.0348352
Ankaako CHPS Compound,Clinic,5.3891941,-1.4548716
Buya Health Centre,Clinic,8.3752549,-0.0509579
Celestial Medicare Clinic,Clinic,5.6011106,-0.1205109
PPAG Cape Coast Clinic,Clinic,5.1357195,-1.2769047
University Health Clinic,Clinic,9.3907167,-0.8171514
B.A. Fuseini Memorial Clinic,Clinic,9.3839717,-0.8145347
Maakro Clinic,Clinic,6.6988856,-1.7297992
NEUROCARE SPECIALIST SERVICE,Hospital,6.6481752,-1.6425177
Hospital Bungalow,Hospital,6.0676308,0.4005722
Hangaline- Chps Facility,Clinic,9.0765569,-1.8169189
JAG'S Clinic & Laboratory Services LTD,Clinic,9.0670837,-1.8083469
MMA LUCIA'S CLINIC/ MATERNITY HOME ( SISTER VIRGIN),Clinic,9.0674564,-1.8080524
MMA LUCIA'S CLINIC MATERNITY HOME (SISTER VIRGIN),Clinic,9.0675932,-1.8080444
Damongo Health Centre,Hospital,9.0822717,-1.8182024
Damongo Health Centre,Hospital,9.0822819,-1.818583
Achievers Medical Centre/Pharmacy,Clinic,6.6252406,-1.2075522
CHPS Compound,Clinic,6.4507913,-2.9733155
Siloam Hospital,Hospital,6.7000574,-1.6608735
"S.D.A. Hospital, Kwadaso",Hospital,6.6996795,-1.6585978
Ga Health Center,Clinic,9.79787,-2.4957016
Bramkurom CHPS Compound,Clinic,6.515554,-0.8907326
saboba gov't hospital,Hospital,9.7077503,0.2996998
Unnamed Facility,Hospital,9.7082103,0.2989421
saboba government hospital,Hospital,9.7079195,0.299158
kofiase health clinic,Clinic,7.1412636,-1.4834676
Narkwa Polyclinic,Clinic,5.2076954,-0.9392389
Unnamed Facility,Hospital,8.0451408,-1.7294138
Unnamed Facility,Hospital,8.0451647,-1.7294245
Huni- Valley Clinic,Clinic,5.4720102,-1.9132848
AIMS Hospital,Hospital,5.6060797,-0.2254035
Unnamed Facility,Hospital,5.6060615,-0.225648
Hain Polyclinic,Hospital,10.6925153,-2.4359607
Resolve Medical Hospital,Hospital,5.6355198,-0.0784421
Cape Coast Health And Wellness Center,Hospital,5.1084068,-1.2472647
Nandom Hospital,Hospital,10.8389883,-2.7729897
matflex physiotherapy center,Hospital,6.7453933,-1.6181887
Sahara Herbal clinic,Clinic,5.2569192,-1.0219939
CITI PHYSIOTHERAPY AND REHABILITATION CENTRE,Hospital,5.5374094,-0.4180654
Magazine Clinic,Clinic,6.6932749,-1.6357116
Busa Health Centre,Clinic,10.0205722,-2.3909158
Naboro Health Centre,Clinic,10.9323625,-0.9784818
CHPS Gonum,Clinic,10.920852,-1.0050586
Kandiga Atiyorum Health Facility,Clinic,10.8608087,-0.9791991
divine grace hospital,Hospital,6.8459841,-1.4059779
Kpongu Health Center,Clinic,9.9928674,-2.5166887
Unnamed Facility,Hospital,6.040978,-0.4435667
HEALTH CENTER,Hospital,5.9132585,-2.1250455
north campus,Hospital,5.3700774,-0.6296252
Trust Clinic Dome,Clinic,5.646857,-0.244899
Bliss Eye Care,Clinic,10.0535844,-2.5010303
Nkrankwanta Government Hospital,Hospital,7.0199354,-3.0528077
Massakrom CHPS,Clinic,6.9216504,-3.1660639
Unnamed Facility,Hospital,6.8328495,-1.5050376
Atwedie CHPS,Hospital,7.0270047,-2.4775402
Essam Government Hospital,Hospital,6.6716187,-3.105448
