date,adm_level,adm_id,PCODE,n_pixels,rfh,rfh_avg,r1h,r1h_avg,r3h,r3h_avg,rfq,r1q,r3q,version,district_name
2025-08-01,2,1011444,RW57,41.0,5.4634147,4.992683,7.487805,7.6772356,81.60975,74.58699,104.71077,98.50574,108.824005,final,Bugesera
2025-08-11,2,1011444,RW57,41.0,12.170732,5.774797,18.585365,12.598374,68.14633,51.769917,159.36012,134.02014,128.84698,final,Bugesera
2025-08-21,2,1011444,RW57,41.0,3.487805,9.106504,21.12195,19.873983,46.7561,37.906506,60.16944,105.01716,120.62529,final,Bugesera
2025-09-01,2,1011444,RW57,41.0,6.365854,16.501627,22.024391,31.382927,45.2439,46.89756,52.86044,74.27767,96.81361,final,Bugesera
2025-09-11,2,1011444,RW57,41.0,17.853659,18.42439,27.707317,44.03252,51.29268,61.8,97.563515,66.70536,84.27047,final,Bugesera
2025-09-21,2,1011444,RW57,41.0,7.8536587,19.609756,32.073174,54.535774,56.585365,78.786995,52.229927,62.270416,73.5023,final,Bugesera
2025-10-01,2,1011444,RW57,41.0,37.707317,29.91057,63.414635,67.94472,92.926834,107.00488,122.33349,93.7897,87.43086,final,Bugesera
2025-10-11,2,1011444,RW57,41.0,22.780487,36.430893,68.34146,85.95122,114.63414,142.5821,67.05259,80.638245,81.06277,final,Bugesera
2025-10-21,2,1011444,RW57,41.0,77.439026,39.01382,137.92683,105.355286,191.12195,179.76505,187.30258,129.51517,106.14667,final,Bugesera
2025-11-01,2,1011444,RW57,41.0,47.658535,45.547966,147.87805,120.99268,233.31708,220.32033,104.17538,121.33883,105.76812,final,Bugesera
2025-11-11,2,1011444,RW57,41.0,27.487804,36.66585,152.58537,121.227646,248.63416,251.21138,77.97226,124.8422,98.9941,final,Bugesera
2025-11-21,2,1011444,RW57,41.0,16.853659,42.9252,92.0,125.13902,262.0,285.0301,45.599514,74.535675,92.05942,final,Bugesera
2025-12-01,2,1011444,RW57,41.0,25.0,29.905691,69.34146,109.49675,280.63416,298.43414,85.94586,64.92889,94.13383,final,Bugesera
2025-12-11,2,1011444,RW57,41.0,31.146341,26.860163,73.0,99.691055,293.92682,306.8699,113.45309,74.50493,95.849846,final,Bugesera
2025-12-21,2,1011444,RW57,41.0,64.85366,34.91301,121.0,91.67886,350.92685,322.17316,175.01477,130.32838,108.78853,final,Bugesera
2026-01-01,2,1011444,RW57,41.0,54.317074,25.669106,150.31708,87.15691,367.5366,315.18942,193.40987,168.53546,116.348816,final,Bugesera
2026-01-11,2,1011444,RW57,41.0,29.609756,24.311382,148.78049,85.86016,374.36584,303.26178,118.07617,169.24963,123.066124,final,Bugesera
2026-01-21,2,1011444,RW57,41.0,61.02439,27.619513,144.95123,77.6,357.9512,291.4,202.40765,181.53902,122.45318,final,Bugesera
2026-02-01,2,1011444,RW57,41.0,28.609756,25.347967,119.243904,77.27886,338.90247,271.66016,110.74797,151.00343,124.30502,final,Bugesera
2026-02-11,2,1011444,RW57,41.0,25.95122,29.209757,115.585365,82.17724,337.3659,263.81546,90.47484,138.32208,127.36094,final,Bugesera
2026-02-21,2,1011444,RW57,41.0,14.756098,23.110569,69.31707,77.66829,335.2683,243.69186,70.27996,89.89792,136.82326,final,Bugesera
2026-03-01,2,1011444,RW57,41.0,46.560974,43.055283,87.268295,95.37561,356.82928,259.81137,107.29512,91.92302,136.63661,prelim,Bugesera
2026-03-11,2,1011444,RW57,41.0,38.682926,36.798374,100.0,102.964226,364.36584,271.00162,104.508675,97.25444,133.82742,prelim,Bugesera
2026-03-21,2,1011444,RW57,41.0,43.463413,53.117073,128.7073,132.97073,342.97562,288.239,83.38929,96.909904,118.66621,prelim,Bugesera
2026-04-01,2,1011444,RW57,41.0,20.975609,54.00488,103.12195,143.92032,309.63416,316.5748,44.022816,72.6039,97.84167,prelim,Bugesera
2026-04-11,2,1011444,RW57,41.0,53.048782,48.057724,117.48781,155.17967,333.07318,340.32114,109.40684,76.46901,97.9011,forecast,Bugesera
2022-01-01,2,1011448,RW53,51.0,15.784314,22.300653,100.82353,81.973854,307.09802,321.8281,76.131195,121.672806,95.49302,final,Gatsibo
